City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,description
186,Sagarejo,41.734,45.3315,32.43,92,100,4.52,GE,2022-02-14 04:11:23,light snow
187,Eseka,3.65,10.7667,74.66,89,91,1.95,CM,2022-02-14 04:11:24,overcast clouds
188,Lokosovo,61.1333,74.8167,0.86,96,100,6.98,RU,2022-02-14 04:11:24,overcast clouds
189,Concepcion,-36.827,-73.0498,60.6,77,100,5.75,CL,2022-02-14 04:07:00,overcast clouds
190,Abong Mbang,3.9833,13.1833,63.5,48,100,2.71,CM,2022-02-14 04:11:25,overcast clouds
191,Namli,23.4333,75.05,68.68,28,0,9.75,IN,2022-02-14 04:11:25,clear sky
192,Vao,-22.6667,167.4833,80.35,81,99,14.54,NC,2022-02-14 04:11:26,overcast clouds
193,Port-Gentil,-0.7193,8.7815,80.64,77,100,7.2,GA,2022-02-14 04:11:27,overcast clouds
194,Lebu,-37.6167,-73.65,56.17,93,97,6.15,CL,2022-02-14 04:11:27,overcast clouds
195,Adrar,20.5022,-10.0711,58.77,26,98,10.76,MR,2022-02-14 04:11:27,overcast clouds
196,Esperance,-33.8667,121.9,73.42,57,68,13.27,AU,2022-02-14 04:11:08,broken clouds
197,Jumla,29.2747,82.1838,47.55,37,0,0.11,NP,2022-02-14 04:11:28,clear sky
198,Nanortalik,60.1432,-45.2371,18.79,86,100,28.97,GL,2022-02-14 04:11:28,snow
199,Itaberai,-16.0203,-49.8103,65.71,97,14,3.47,BR,2022-02-14 04:11:29,few clouds
200,Port Elizabeth,-33.918,25.5701,66.49,100,75,4.61,ZA,2022-02-14 04:07:56,light rain
201,Vernon,50.2581,-119.2691,38.3,73,100,1.16,CA,2022-02-14 04:11:29,overcast clouds
202,Mount Isa,-20.7333,139.5,91.17,29,40,10.36,AU,2022-02-14 04:11:30,scattered clouds
203,Sham Churasi,31.4997,75.7494,57.31,60,36,2.62,IN,2022-02-14 04:11:30,scattered clouds
204,Beian,63.6559,9.5683,32.09,80,0,3.44,NO,2022-02-14 04:11:31,clear sky
205,Miri,4.4148,114.0089,85.62,69,84,3.33,MY,2022-02-14 04:11:31,broken clouds
206,Tommot,58.9564,126.2925,-6.97,92,99,1.1,RU,2022-02-14 04:11:32,overcast clouds
207,Leningradskiy,69.3833,178.4167,-17.97,90,79,6.2,RU,2022-02-14 04:11:32,broken clouds
208,Teresopolis,-22.4122,-42.9656,66.74,97,6,2.91,BR,2022-02-14 04:11:33,clear sky
209,Medicine Hat,50.0501,-110.6683,35.22,61,100,1.99,CA,2022-02-14 04:11:33,overcast clouds
