City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,Naryan-Mar,67.6713,53.087,-1.75,98,30,9.69,RU,2022-02-14 01:01:34
194,Maldonado,-34.6667,-54.9167,68.23,60,16,7.81,UY,2022-02-14 01:01:34
195,Rosarito,32.3333,-117.0333,81.63,34,0,4.29,MX,2022-02-14 01:01:35
196,Mar Del Plata,-38.0023,-57.5575,63.88,73,0,6.44,AR,2022-02-14 01:00:10
197,Duluth,46.7833,-92.1066,8.56,57,100,10.36,US,2022-02-14 00:57:39
198,Manbij,36.5281,37.9549,36.37,70,0,7.96,SY,2022-02-14 01:01:36
199,Lorengau,-2.0226,147.2712,84.02,72,100,2.55,PG,2022-02-14 01:01:16
200,Nagato,34.3833,131.2,45.19,63,8,13.56,JP,2022-02-14 01:01:36
201,Gamba,-2.65,10.0,77.16,86,73,3.56,GA,2022-02-14 01:01:37
202,Shuya,56.8487,41.3883,24.85,93,100,9.48,RU,2022-02-14 01:01:38
203,Calvia,39.5657,2.5062,54.07,83,35,12.86,ES,2022-02-14 01:01:38
204,Aberystwyth,52.4155,-4.0829,45.66,92,100,17.78,GB,2022-02-14 01:01:39
205,Abha,18.2164,42.5053,52.23,71,25,0.67,SA,2022-02-14 01:01:39
206,Zelenets,61.8849,50.7489,19.65,100,99,3.67,RU,2022-02-14 01:01:40
207,Paamiut,61.994,-49.6678,11.43,87,100,18.14,GL,2022-02-14 01:01:40
208,Kaeo,-35.1,173.7833,76.32,51,9,4.99,NZ,2022-02-14 01:01:41
209,Berlevag,70.8578,29.0864,21.06,90,100,7.92,NO,2022-02-14 01:01:42
210,Topana,44.8167,24.5167,30.97,74,100,3.44,RO,2022-02-14 01:01:42
211,Loukhi,66.0764,33.0381,27.07,94,100,9.78,RU,2022-02-14 01:01:43
212,Erzin,36.9559,36.2,37.92,88,22,3.11,TR,2022-02-14 01:01:43
213,Abramovka,51.1886,41.0202,11.61,93,76,8.23,RU,2022-02-14 01:01:44
214,Barabai,-2.5833,115.3833,80.85,81,98,2.04,ID,2022-02-14 01:01:44
215,Troy,42.6056,-83.1499,15.87,75,0,5.75,US,2022-02-14 01:01:45
216,Bonthe,7.5264,-12.505,77.29,90,8,3.83,SL,2022-02-14 01:01:45
217,Orotukan,62.2667,151.7,-20.88,89,49,1.95,RU,2022-02-14 01:01:46
218,Arraial Do Cabo,-22.9661,-42.0278,75.7,92,11,14.36,BR,2022-02-14 01:01:46
219,Shitanjing,39.2342,106.3439,14.7,61,100,3.6,CN,2022-02-14 01:01:47
220,Provideniya,64.3833,-173.3,-3.64,71,0,8.99,RU,2022-02-14 01:01:47
221,Oranjemund,-28.55,16.4333,64.18,91,3,10.36,NA,2022-02-14 01:01:48
222,Gladstone,-23.85,151.25,84.13,54,75,17.27,AU,2022-02-14 01:00:16
223,Maumere,-8.6199,122.2111,82.78,71,51,4.09,ID,2022-02-14 01:01:48
224,Bogorodskoye,56.55,37.8833,28.26,84,100,12.1,RU,2022-02-14 01:01:49
225,Dikson,73.5069,80.5464,-5.19,87,100,23.71,RU,2022-02-14 01:01:49
226,Champerico,14.3,-91.9167,84.04,69,2,4.16,GT,2022-02-14 01:02:50
227,Codrington,-38.2667,141.9667,70.34,62,33,10.31,AU,2022-02-14 01:02:50
228,Touros,-5.1989,-35.4608,81.5,75,5,12.8,BR,2022-02-14 01:02:51
229,Sao Felix Do Xingu,-6.6447,-51.995,69.73,92,100,1.59,BR,2022-02-14 01:00:54
230,Adrar,20.5022,-10.0711,60.57,23,91,10.6,MR,2022-02-14 01:02:51
231,Guerrero Negro,27.9769,-114.0611,71.98,32,6,11.07,MX,2022-02-14 00:59:14
232,Ribas Do Rio Pardo,-20.4431,-53.7592,79.18,41,62,4.59,BR,2022-02-14 01:02:52
233,Mugumu,-1.85,34.7,61.12,92,94,4.25,TZ,2022-02-14 01:01:41
234,Asbury Park,40.2204,-74.0121,31.21,89,100,9.22,US,2022-02-14 01:01:52
235,Kruisfontein,-34.0033,24.7314,66.42,91,100,9.37,ZA,2022-02-14 01:02:53
236,Jalu,29.0331,21.5482,52.9,58,0,6.51,LY,2022-02-14 01:02:54
237,Diamantino,-14.4086,-56.4461,72.59,96,100,2.93,BR,2022-02-14 01:02:54
238,Cuamba,-14.8031,36.5372,68.72,98,98,0.47,MZ,2022-02-14 01:02:55
239,Fairbanks,64.8378,-147.7164,11.3,78,100,5.75,US,2022-02-14 01:00:05
240,Wagar,16.1525,36.2032,66.67,66,100,12.28,SD,2022-02-14 01:02:56
241,Ciudad Guayana,8.3533,-62.6528,77.23,70,92,9.01,VE,2022-02-14 01:02:56
242,Nalut,30.3333,10.85,52.14,30,72,15.84,LY,2022-02-14 01:02:56
243,Cervo,43.6702,-7.4101,50.97,77,62,20.8,ES,2022-02-14 00:57:58
244,Alofi,-19.0595,-169.9187,81.0,73,100,10.94,NU,2022-02-14 01:02:57
245,Vestmannaeyjar,63.4427,-20.2734,34.68,73,100,31.09,IS,2022-02-14 00:58:39
246,Monywa,22.1167,95.1333,59.74,48,0,6.71,MM,2022-02-14 01:02:58
247,Pangkalanbuun,-2.6833,111.6167,80.26,82,94,3.44,ID,2022-02-14 01:02:58
